0 Branching ratio for SO      S/O        0 branches     
Lambda   S/O
2948.32         0.00E+00
2948.82         0.00E+00
2949.31         0.00E+00
2949.81         0.00E+00
2950.30         0.00E+00
2950.80         0.00E+00
2951.30         0.00E+00
2951.79         0.00E+00
2952.29         0.00E+00
2952.78         0.00E+00
2953.28         0.00E+00
2953.77         0.00E+00
2954.27         0.00E+00
2954.76         0.00E+00
2955.26         0.00E+00
2955.76         0.00E+00
2956.25         0.00E+00
2956.75         0.00E+00
2957.24         0.00E+00
2957.74         0.00E+00
2958.23         0.00E+00
2958.73         0.00E+00
2959.23         0.00E+00
2959.72         0.00E+00
2960.22         0.00E+00
2960.71         0.00E+00
2961.21         0.00E+00
2961.70         0.00E+00
2962.20         0.00E+00
2962.69         0.00E+00
2963.19         0.00E+00
2963.69         0.00E+00
2964.18         0.00E+00
2964.68         0.00E+00
2965.17         0.00E+00
2965.67         0.00E+00
2966.16         0.00E+00
2966.66         0.00E+00
2967.15         0.00E+00
2967.65         0.00E+00
2968.15         0.00E+00
2968.64         0.00E+00
2969.14         0.00E+00
2969.63         0.00E+00
2970.13         0.00E+00
2970.62         0.00E+00
2971.12         0.00E+00
2971.62         0.00E+00
2972.11         0.00E+00
2972.61         0.00E+00
2973.10         0.00E+00
2973.60         0.00E+00
2974.09         0.00E+00
2974.59         0.00E+00
2975.08         0.00E+00
2975.58         0.00E+00
2976.08         0.00E+00
2976.57         0.00E+00
2977.07         0.00E+00
2977.56         0.00E+00
2978.06         0.00E+00
2978.55         0.00E+00
2979.05         0.00E+00
2979.54         0.00E+00
2980.04         0.00E+00
2980.54         0.00E+00
2981.03         0.00E+00
2981.53         0.00E+00
2982.02         0.00E+00
2982.52         0.00E+00
2983.01         0.00E+00
2983.51         0.00E+00
2984.01         0.00E+00
2984.50         0.00E+00
2985.00         0.00E+00
2985.49         0.00E+00
2985.99         0.00E+00
2986.48         0.00E+00
2986.98         0.00E+00
2987.47         0.00E+00
2987.97         0.00E+00
2988.47         0.00E+00
2988.96         0.00E+00
2989.46         0.00E+00
2989.95         0.00E+00
2990.45         0.00E+00
2990.94         0.00E+00
2991.44         0.00E+00
2991.94         0.00E+00
2992.43         0.00E+00
2992.93         0.00E+00
2993.42         0.00E+00
2993.92         0.00E+00
2994.41         0.00E+00
2994.91         0.00E+00
2995.40         0.00E+00
2995.90         0.00E+00
2996.40         0.00E+00
2996.89         0.00E+00
2997.39         0.00E+00
2997.88         0.00E+00
2998.38         0.00E+00
2998.87         0.00E+00
2999.37         0.00E+00
2999.86         0.00E+00
3000.36         0.00E+00
3000.86         0.00E+00
3001.35         0.00E+00
3001.85         0.00E+00
3002.34         0.00E+00
3002.84         0.00E+00
3003.33         0.00E+00
3003.83         0.00E+00
3004.33         0.00E+00
3004.82         0.00E+00
3005.32         0.00E+00
3005.81         0.00E+00
3006.31         0.00E+00
3006.80         0.00E+00
3007.30         0.00E+00
3007.79         0.00E+00
3008.29         0.00E+00
3008.79         0.00E+00
3009.28         0.00E+00
3009.78         0.00E+00
3010.27         0.00E+00
3010.77         0.00E+00
3011.26         0.00E+00
3011.76         0.00E+00
3012.26         0.00E+00
3012.75         0.00E+00
3013.25         0.00E+00
3013.74         0.00E+00
3014.24         0.00E+00
3014.73         0.00E+00
3015.23         0.00E+00
3015.72         0.00E+00
3016.22         0.00E+00
3016.72         0.00E+00
3017.21         0.00E+00
3017.71         0.00E+00
3018.20         0.00E+00
3018.70         0.00E+00
3019.19         0.00E+00
3019.69         0.00E+00
3020.18         0.00E+00
3020.68         0.00E+00
3021.18         0.00E+00
3021.67         0.00E+00
3022.17         0.00E+00
3022.66         0.00E+00
3023.16         0.00E+00
3023.65         0.00E+00
3024.15         0.00E+00
3024.65         0.00E+00
3025.14         0.00E+00
3025.64         0.00E+00
3026.13         0.00E+00
3026.63         0.00E+00
3027.12         0.00E+00
3027.62         0.00E+00
3028.11         0.00E+00
3028.61         0.00E+00
3029.11         0.00E+00
3029.60         0.00E+00
3030.10         0.00E+00
3030.59         0.00E+00
3031.09         0.00E+00
3031.58         0.00E+00
3032.08         0.00E+00
3032.57         0.00E+00
3033.07         0.00E+00
3033.57         0.00E+00
3034.06         0.00E+00
3034.56         0.00E+00
3035.05         0.00E+00
3035.55         0.00E+00
3036.04         0.00E+00
3036.54         0.00E+00
3037.04         0.00E+00
3037.53         0.00E+00
3038.03         0.00E+00
3038.52         0.00E+00
3039.02         0.00E+00
3039.51         0.00E+00
3040.01         0.00E+00
3040.50         0.00E+00
3041.00         0.00E+00
3041.50         0.00E+00
3041.99         0.00E+00
3042.49         0.00E+00
3042.98         0.00E+00
3043.48         0.00E+00
3043.97         0.00E+00
3044.47         0.00E+00
3044.97         0.00E+00
3045.46         0.00E+00
3045.96         0.00E+00
3046.45         0.00E+00
3046.95         0.00E+00
3047.44         0.00E+00
3047.94         0.00E+00
3048.43         0.00E+00
3048.93         0.00E+00
3049.43         0.00E+00
3049.92         0.00E+00
3050.42         0.00E+00
3050.91         0.00E+00
3051.41         0.00E+00
3051.90         0.00E+00
3052.40         0.00E+00
3052.89         0.00E+00
3053.39         0.00E+00
3053.89         0.00E+00
3054.38         0.00E+00
3054.88         0.00E+00
3055.37         0.00E+00
3055.87         0.00E+00
3056.36         0.00E+00
3056.86         0.00E+00
3057.36         0.00E+00
3057.85         0.00E+00
3058.35         0.00E+00
3058.84         0.00E+00
3059.34         0.00E+00
3059.83         0.00E+00
3060.33         0.00E+00
3060.82         0.00E+00
3061.32         0.00E+00
3061.82         0.00E+00
3062.31         0.00E+00
3062.81         0.00E+00
3063.30         0.00E+00
3063.80         0.00E+00
3064.29         0.00E+00
3064.79         0.00E+00
3065.28         0.00E+00
3065.78         0.00E+00
3066.28         0.00E+00
3066.77         0.00E+00
3067.27         0.00E+00
3067.76         0.00E+00
3068.26         0.00E+00
3068.75         0.00E+00
3069.25         0.00E+00
3069.75         0.00E+00
3070.24         0.00E+00
3070.74         0.00E+00
3071.23         0.00E+00
3071.73         0.00E+00
3072.22         0.00E+00
3072.72         0.00E+00
3073.21         0.00E+00
3073.71         0.00E+00
3074.21         0.00E+00
3074.70         0.00E+00
3075.20         0.00E+00
3075.69         0.00E+00
3076.19         0.00E+00
3076.68         0.00E+00
3077.18         0.00E+00
3077.68         0.00E+00
3078.17         0.00E+00
3078.67         0.00E+00
3079.16         0.00E+00
3079.66         0.00E+00
3080.15         0.00E+00
3080.65         0.00E+00
3081.14         0.00E+00
3081.64         0.00E+00
3082.14         0.00E+00
3082.63         0.00E+00
3083.13         0.00E+00
3083.62         0.00E+00
3084.12         0.00E+00
3084.61         0.00E+00
3085.11         0.00E+00
3085.60         0.00E+00
3086.10         0.00E+00
3086.60         0.00E+00
3087.09         0.00E+00
3087.59         0.00E+00
3088.08         0.00E+00
3088.58         0.00E+00
3089.07         0.00E+00
3089.57         0.00E+00
3090.07         0.00E+00
3090.56         0.00E+00
3091.06         0.00E+00
3091.55         0.00E+00
3092.05         0.00E+00
3092.54         0.00E+00
3093.04         0.00E+00
3093.53         0.00E+00
3094.03         0.00E+00
3094.53         0.00E+00
3095.02         0.00E+00
3095.52         0.00E+00
3096.01         0.00E+00
3096.51         0.00E+00
3097.00         0.00E+00
3097.50         0.00E+00
3098.00         0.00E+00
3098.49         0.00E+00
3098.99         0.00E+00
3099.48         0.00E+00
3099.98         0.00E+00
3100.47         0.00E+00
3100.97         0.00E+00
3101.46         0.00E+00
3101.96         0.00E+00
3102.46         0.00E+00
3102.95         0.00E+00
3103.45         0.00E+00
3103.94         0.00E+00
3104.44         0.00E+00
3104.93         0.00E+00
3105.43         0.00E+00
3105.92         0.00E+00
3106.42         0.00E+00
3106.92         0.00E+00
3107.41         0.00E+00
3107.91         0.00E+00
3108.40         0.00E+00
3108.90         0.00E+00
3109.39         0.00E+00
3109.89         0.00E+00
3110.39         0.00E+00
3110.88         0.00E+00
3111.38         0.00E+00
3111.87         0.00E+00
3112.37         0.00E+00
3112.86         0.00E+00
3113.36         0.00E+00
3113.85         0.00E+00
3114.35         0.00E+00
3114.85         0.00E+00
3115.34         0.00E+00
3115.84         0.00E+00
3116.33         0.00E+00
3116.83         0.00E+00
3117.32         0.00E+00
3117.82         0.00E+00
3118.31         0.00E+00
3118.81         0.00E+00
3119.31         0.00E+00
3119.80         0.00E+00
3120.30         0.00E+00
3120.79         0.00E+00
3121.29         0.00E+00
3121.78         0.00E+00
3122.28         0.00E+00
3122.78         0.00E+00
3123.27         0.00E+00
3123.77         0.00E+00
3124.26         0.00E+00
3124.76         0.00E+00
3125.25         0.00E+00
3125.75         0.00E+00
3126.24         0.00E+00
3126.74         0.00E+00
3127.24         0.00E+00
3127.73         0.00E+00
3128.23         0.00E+00
3128.72         0.00E+00
3129.22         0.00E+00
3129.71         0.00E+00
3130.21         0.00E+00
3130.71         0.00E+00
3131.20         0.00E+00
3131.70         0.00E+00
3132.19         0.00E+00
3132.69         0.00E+00
3133.18         0.00E+00
3133.68         0.00E+00
3134.17         0.00E+00
3134.67         0.00E+00
3135.17         0.00E+00
3135.66         0.00E+00
3136.16         0.00E+00
3136.65         0.00E+00
3137.15         0.00E+00
3137.64         0.00E+00
3138.14         0.00E+00
3138.63         0.00E+00
3139.13         0.00E+00
3139.63         0.00E+00
3140.12         0.00E+00
3140.62         0.00E+00
3141.11         0.00E+00
3141.61         0.00E+00
3142.10         0.00E+00
3142.60         0.00E+00
3143.10         0.00E+00
3143.59         0.00E+00
3144.09         0.00E+00
3144.58         0.00E+00
3145.08         0.00E+00
3145.57         0.00E+00
3146.07         0.00E+00
3146.56         0.00E+00
3147.06         0.00E+00
3147.56         0.00E+00
3148.05         0.00E+00
3148.55         0.00E+00
3149.04         0.00E+00
3149.54         0.00E+00
3150.03         0.00E+00
3150.53         0.00E+00
3151.03         0.00E+00
3151.52         0.00E+00
3152.02         0.00E+00
3152.51         0.00E+00
3153.01         0.00E+00
3153.50         0.00E+00
3154.00         0.00E+00
3154.49         0.00E+00
3154.99         0.00E+00
3155.49         0.00E+00
3155.98         0.00E+00
3156.48         0.00E+00
3156.97         0.00E+00
3157.47         0.00E+00
3157.96         0.00E+00
3158.46         0.00E+00
3158.95         0.00E+00
3159.45         0.00E+00
3159.95         0.00E+00
3160.44         0.00E+00
3160.94         0.00E+00
3161.43         0.00E+00
3161.93         0.00E+00
3162.42         0.00E+00
3162.92         0.00E+00
3163.42         0.00E+00
3163.91         0.00E+00
3164.41         0.00E+00
3164.90         0.00E+00
3165.40         0.00E+00
3165.89         0.00E+00
3166.39         0.00E+00
3166.88         0.00E+00
3167.38         0.00E+00
3167.88         0.00E+00
3168.37         0.00E+00
3168.87         0.00E+00
3169.36         0.00E+00
3169.86         0.00E+00
3170.35         0.00E+00
3170.85         0.00E+00
3171.34         0.00E+00
3171.84         0.00E+00
3172.34         0.00E+00
3172.83         0.00E+00
3173.33         0.00E+00
3173.82         0.00E+00
3174.32         0.00E+00
3174.81         0.00E+00
3175.31         0.00E+00
3175.81         0.00E+00
3176.30         0.00E+00
3176.80         0.00E+00
3177.29         0.00E+00
3177.79         0.00E+00
3178.28         0.00E+00
3178.78         0.00E+00
3179.27         0.00E+00
3179.77         0.00E+00
3180.27         0.00E+00
3180.76         0.00E+00
3181.26         0.00E+00
3181.75         0.00E+00
3182.25         0.00E+00
3182.74         0.00E+00
3183.24         0.00E+00
3183.74         0.00E+00
3184.23         0.00E+00
3184.73         0.00E+00
3185.22         0.00E+00
3185.72         0.00E+00
3186.21         0.00E+00
3186.71         0.00E+00
3187.20         0.00E+00
3187.70         0.00E+00
3188.20         0.00E+00
3188.69         0.00E+00
3189.19         0.00E+00
3189.68         0.00E+00
3190.18         0.00E+00
3190.67         0.00E+00
3191.17         0.00E+00
3191.66         0.00E+00
3192.16         0.00E+00
3192.66         0.00E+00
3193.15         0.00E+00
3193.65         0.00E+00
3194.14         0.00E+00
3194.64         0.00E+00
3195.13         0.00E+00
3195.63         0.00E+00
3196.13         0.00E+00
3196.62         0.00E+00
3197.12         0.00E+00
3197.61         0.00E+00
3198.11         0.00E+00
3198.60         0.00E+00
3199.10         0.00E+00
3199.59         0.00E+00
3200.09         0.00E+00
3200.59         0.00E+00
3201.08         0.00E+00
3201.58         0.00E+00
3202.07         0.00E+00
3202.57         0.00E+00
3203.06         0.00E+00
3203.56         0.00E+00
3204.05         0.00E+00
3204.55         0.00E+00
3205.05         0.00E+00
3205.54         0.00E+00
3206.04         0.00E+00
3206.53         0.00E+00
3207.03         0.00E+00
3207.52         0.00E+00
3208.02         0.00E+00
3208.52         0.00E+00
3209.01         0.00E+00
3209.51         0.00E+00
3210.00         0.00E+00
3210.50         0.00E+00
3210.99         0.00E+00
3211.49         0.00E+00
3211.98         0.00E+00
3212.48         0.00E+00
3212.98         0.00E+00
3213.47         0.00E+00
3213.97         0.00E+00
3214.46         0.00E+00
3214.96         0.00E+00
3215.45         0.00E+00
3215.95         0.00E+00
3216.45         0.00E+00
3216.94         0.00E+00
3217.44         0.00E+00
3217.93         0.00E+00
3218.43         0.00E+00
3218.92         0.00E+00
3219.42         0.00E+00
3219.91         0.00E+00
3220.41         0.00E+00
3220.91         0.00E+00
3221.40         0.00E+00
3221.90         0.00E+00
3222.39         0.00E+00
3222.89         0.00E+00
3223.38         0.00E+00
3223.88         0.00E+00
3224.37         0.00E+00
3224.87         0.00E+00
3225.37         0.00E+00
3225.86         0.00E+00
3226.36         0.00E+00
3226.85         0.00E+00
3227.35         0.00E+00
3227.84         0.00E+00
3228.34         0.00E+00
3228.84         0.00E+00
3229.33         0.00E+00
3229.83         0.00E+00
3230.32         0.00E+00
3230.82         0.00E+00
3231.31         0.00E+00
3231.81         0.00E+00
3232.30         0.00E+00
3232.80         0.00E+00
3233.30         0.00E+00
3233.79         0.00E+00
3234.29         0.00E+00
3234.78         0.00E+00
3235.28         0.00E+00
3235.77         0.00E+00
3236.27         0.00E+00
3236.77         0.00E+00
3237.26         0.00E+00
3237.76         0.00E+00
3238.25         0.00E+00
3238.75         0.00E+00
3239.24         0.00E+00
3239.74         0.00E+00
3240.23         0.00E+00
3240.73         0.00E+00
3241.23         0.00E+00
3241.72         0.00E+00
3242.22         0.00E+00
3242.71         0.00E+00
3243.21         0.00E+00
3243.70         0.00E+00
3244.20         0.00E+00
3244.69         0.00E+00
3245.19         0.00E+00
3245.69         0.00E+00
3246.18         0.00E+00
3246.68         0.00E+00
3247.17         0.00E+00
3247.67         0.00E+00
3248.16         0.00E+00
3248.66         0.00E+00
3249.16         0.00E+00
3249.65         0.00E+00
3250.15         0.00E+00
3250.64         0.00E+00
3251.14         0.00E+00
3251.63         0.00E+00
3252.13         0.00E+00
3252.62         0.00E+00
3253.12         0.00E+00
3253.62         0.00E+00
3254.11         0.00E+00
3254.61         0.00E+00
3255.10         0.00E+00
3255.60         0.00E+00
3256.09         0.00E+00
3256.59         0.00E+00
3257.08         0.00E+00
3257.58         0.00E+00
3258.08         0.00E+00
3258.57         0.00E+00
3259.07         0.00E+00
3259.56         0.00E+00
3260.06         0.00E+00
3260.55         0.00E+00
3261.05         0.00E+00
3261.55         0.00E+00
3262.04         0.00E+00
3262.54         0.00E+00
3263.03         0.00E+00
3263.53         0.00E+00
3264.02         0.00E+00
3264.52         0.00E+00
3265.01         0.00E+00
3265.51         0.00E+00
3266.01         0.00E+00
3266.50         0.00E+00
3267.00         0.00E+00
3267.49         0.00E+00
3267.99         0.00E+00
3268.48         0.00E+00
3268.98         0.00E+00
3269.48         0.00E+00
3269.97         0.00E+00
3270.47         0.00E+00
3270.96         0.00E+00
3271.46         0.00E+00
3271.95         0.00E+00
3272.45         0.00E+00
3272.94         0.00E+00
3273.44         0.00E+00
3273.94         0.00E+00
3274.43         0.00E+00
3274.93         0.00E+00
3275.42         0.00E+00
3275.92         0.00E+00
3276.41         0.00E+00
3276.91         0.00E+00
3277.40         0.00E+00
3277.90         0.00E+00
3278.40         0.00E+00
3278.89         0.00E+00
3279.39         0.00E+00
3279.88         0.00E+00
3280.38         0.00E+00
3280.87         0.00E+00
3281.37         0.00E+00
3281.87         0.00E+00
3282.36         0.00E+00
3282.86         0.00E+00
3283.35         0.00E+00
3283.85         0.00E+00
3284.34         0.00E+00
3284.84         0.00E+00
3285.33         0.00E+00
3285.83         0.00E+00
3286.33         0.00E+00
3286.82         0.00E+00
3287.32         0.00E+00
3287.81         0.00E+00
3288.31         0.00E+00
3288.80         0.00E+00
3289.30         0.00E+00
3289.79         0.00E+00
3290.29         0.00E+00
3290.79         0.00E+00
3291.28         0.00E+00
3291.78         0.00E+00
3292.27         0.00E+00
3292.77         0.00E+00
3293.26         0.00E+00
3293.76         0.00E+00
3294.26         0.00E+00
3294.75         0.00E+00
3295.25         0.00E+00
3295.74         0.00E+00
3296.24         0.00E+00
3296.73         0.00E+00
3297.23         0.00E+00
3297.72         0.00E+00
3298.22         0.00E+00
3298.72         0.00E+00
3299.21         0.00E+00
3299.71         0.00E+00
3300.20         0.00E+00
3300.70         0.00E+00
3301.19         0.00E+00
3301.69         0.00E+00
3302.19         0.00E+00
3302.68         0.00E+00
3303.18         0.00E+00
3303.67         0.00E+00
3304.17         0.00E+00
3304.66         0.00E+00
3305.16         0.00E+00
3305.65         0.00E+00
3306.15         0.00E+00
3306.65         0.00E+00
3307.14         0.00E+00
3307.64         0.00E+00
3308.13         0.00E+00
3308.63         0.00E+00
3309.12         0.00E+00
3309.62         0.00E+00
3310.11         0.00E+00
3310.61         0.00E+00
3311.11         0.00E+00
3311.60         0.00E+00
3312.10         0.00E+00
3312.59         0.00E+00
3313.09         0.00E+00
3313.58         0.00E+00
3314.08         0.00E+00
3314.58         0.00E+00
3315.07         0.00E+00
3315.57         0.00E+00
3316.06         0.00E+00
3316.56         0.00E+00
3317.05         0.00E+00
3317.55         0.00E+00
3318.04         0.00E+00
3318.54         0.00E+00
3319.04         0.00E+00
3319.53         0.00E+00
3320.03         0.00E+00
3320.52         0.00E+00
3321.02         0.00E+00
3321.51         0.00E+00
3322.01         0.00E+00
3322.51         0.00E+00
3323.00         0.00E+00
3323.50         0.00E+00
3323.99         0.00E+00
3324.49         0.00E+00
3324.98         0.00E+00
3325.48         0.00E+00
3325.97         0.00E+00
3326.47         0.00E+00
3326.97         0.00E+00
3327.46         0.00E+00
3327.96         0.00E+00
3328.45         0.00E+00
3328.95         0.00E+00
3329.44         0.00E+00
3329.94         0.00E+00
3330.43         0.00E+00
3330.93         0.00E+00
3331.43         0.00E+00
3331.92         0.00E+00
3332.42         0.00E+00
3332.91         0.00E+00
3333.41         0.00E+00
3333.90         0.00E+00
3334.40         0.00E+00
3334.90         0.00E+00
3335.39         0.00E+00
3335.89         0.00E+00
3336.38         0.00E+00
3336.88         0.00E+00
3337.37         0.00E+00
3337.87         0.00E+00
3338.36         0.00E+00
3338.86         0.00E+00
3339.36         0.00E+00
3339.85         0.00E+00
3340.35         0.00E+00
3340.84         0.00E+00
3341.34         0.00E+00
3341.83         0.00E+00
3342.33         0.00E+00
3342.82         0.00E+00
3343.32         0.00E+00
3343.82         0.00E+00
3344.31         0.00E+00
3344.81         0.00E+00
3345.30         0.00E+00
3345.80         0.00E+00
3346.29         0.00E+00
3346.79         0.00E+00
3347.29         0.00E+00
3347.78         0.00E+00
3348.28         0.00E+00
3348.77         0.00E+00
3349.27         0.00E+00
3349.76         0.00E+00
3350.26         0.00E+00
3350.75         0.00E+00
3351.25         0.00E+00
3351.75         0.00E+00
3352.24         0.00E+00
3352.74         0.00E+00
3353.23         0.00E+00
3353.73         0.00E+00
3354.22         0.00E+00
3354.72         0.00E+00
3355.22         0.00E+00
3355.71         0.00E+00
3356.21         0.00E+00
3356.70         0.00E+00
3357.20         0.00E+00
3357.69         0.00E+00
3358.19         0.00E+00
3358.68         0.00E+00
3359.18         0.00E+00
3359.68         0.00E+00
3360.17         0.00E+00
3360.67         0.00E+00
3361.16         0.00E+00
3361.66         0.00E+00
3362.15         0.00E+00
3362.65         0.00E+00
3363.14         0.00E+00
3363.64         0.00E+00
3364.14         0.00E+00
3364.63         0.00E+00
3365.13         0.00E+00
3365.62         0.00E+00
3366.12         0.00E+00
3366.61         0.00E+00
3367.11         0.00E+00
3367.61         0.00E+00
3368.10         0.00E+00
3368.60         0.00E+00
3369.09         0.00E+00
3369.59         0.00E+00
3370.08         0.00E+00
3370.58         0.00E+00
3371.07         0.00E+00
3371.57         0.00E+00
3372.07         0.00E+00
3372.56         0.00E+00
3373.06         0.00E+00
3373.55         0.00E+00
3374.05         0.00E+00
3374.54         0.00E+00
3375.04         0.00E+00
3375.54         0.00E+00
3376.03         0.00E+00
3376.53         0.00E+00
3377.02         0.00E+00
3377.52         0.00E+00
3378.01         0.00E+00
3378.51         0.00E+00
3379.00         0.00E+00
3379.50         0.00E+00
3380.00         0.00E+00
3380.49         0.00E+00
3380.99         0.00E+00
3381.48         0.00E+00
3381.98         0.00E+00
3382.47         0.00E+00
3382.97         0.00E+00
3383.46         0.00E+00
3383.96         0.00E+00
3384.46         0.00E+00
3384.95         0.00E+00
3385.45         0.00E+00
3385.94         0.00E+00
3386.44         0.00E+00
3386.93         0.00E+00
3387.43         0.00E+00
3387.93         0.00E+00
3388.42         0.00E+00
3388.92         0.00E+00
3389.41         0.00E+00
3389.91         0.00E+00
3390.40         0.00E+00
3390.90         0.00E+00
3391.39         0.00E+00
3391.89         0.00E+00
3392.39         0.00E+00
3392.88         0.00E+00
3393.38         0.00E+00
3393.87         0.00E+00
3394.37         0.00E+00
3394.86         0.00E+00
3395.36         0.00E+00
3395.85         0.00E+00
3396.35         0.00E+00
3396.85         0.00E+00
3397.34         0.00E+00
3397.84         0.00E+00
3398.33         0.00E+00
3398.83         0.00E+00
3399.32         0.00E+00
3399.82         0.00E+00
3400.32         0.00E+00
3400.81         0.00E+00
3401.31         0.00E+00
3401.80         0.00E+00
3402.30         0.00E+00
3402.79         0.00E+00
3403.29         0.00E+00
3403.78         0.00E+00
3404.28         0.00E+00
3404.78         0.00E+00
3405.27         0.00E+00
3405.77         0.00E+00
3406.26         0.00E+00
3406.76         0.00E+00
3407.25         0.00E+00
3407.75         0.00E+00
3408.25         0.00E+00
3408.74         0.00E+00
3409.24         0.00E+00
3409.73         0.00E+00
3410.23         0.00E+00
3410.72         0.00E+00
3411.22         0.00E+00
3411.71         0.00E+00
3412.21         0.00E+00
3412.71         0.00E+00
3413.20         0.00E+00
3413.70         0.00E+00
3414.19         0.00E+00
3414.69         0.00E+00
3415.18         0.00E+00
3415.68         0.00E+00
3416.17         0.00E+00
3416.67         0.00E+00
3417.17         0.00E+00
3417.66         0.00E+00
3418.16         0.00E+00
3418.65         0.00E+00
3419.15         0.00E+00
3419.64         0.00E+00
3420.14         0.00E+00
3420.64         0.00E+00
3421.13         0.00E+00
3421.63         0.00E+00
3422.12         0.00E+00
3422.62         0.00E+00
3423.11         0.00E+00
3423.61         0.00E+00
3424.10         0.00E+00
3424.60         0.00E+00
3425.10         0.00E+00
3425.59         0.00E+00
3426.09         0.00E+00
3426.58         0.00E+00
3427.08         0.00E+00
3427.57         0.00E+00
3428.07         0.00E+00
3428.56         0.00E+00
3429.06         0.00E+00
3429.56         0.00E+00
3430.05         0.00E+00
3430.55         0.00E+00
3431.04         0.00E+00
3431.54         0.00E+00
3432.03         0.00E+00
3432.53         0.00E+00
3433.03         0.00E+00
3433.52         0.00E+00
3434.02         0.00E+00
3434.51         0.00E+00
3435.01         0.00E+00
3435.50         0.00E+00
3436.00         0.00E+00
3436.49         0.00E+00
3436.99         0.00E+00
3437.49         0.00E+00
3437.98         0.00E+00
3438.48         0.00E+00
3438.97         0.00E+00
3439.47         0.00E+00
3439.96         0.00E+00
3440.46         0.00E+00
3440.96         0.00E+00
3441.45         0.00E+00
3441.95         0.00E+00
3442.44         0.00E+00
3442.94         0.00E+00
3443.43         0.00E+00
3443.93         0.00E+00
3444.42         0.00E+00
3444.92         0.00E+00
3445.42         0.00E+00
3445.91         0.00E+00
3446.41         0.00E+00
3446.90         0.00E+00
3447.40         0.00E+00
3447.89         0.00E+00
3448.39         0.00E+00
3448.88         0.00E+00
3449.38         0.00E+00
3449.88         0.00E+00
3450.37         0.00E+00
3450.87         0.00E+00
3451.36         0.00E+00
3451.86         0.00E+00
3452.35         0.00E+00
3452.85         0.00E+00
3453.35         0.00E+00
3453.84         0.00E+00
3454.34         0.00E+00
3454.83         0.00E+00
3455.33         0.00E+00
3455.82         0.00E+00
3456.32         0.00E+00
3456.81         0.00E+00
3457.31         0.00E+00
3457.81         0.00E+00
3458.30         0.00E+00
3458.80         0.00E+00
3459.29         0.00E+00
3459.79         0.00E+00
3460.28         0.00E+00
3460.78         0.00E+00
3461.28         0.00E+00
3461.77         0.00E+00
3462.27         0.00E+00
3462.76         0.00E+00
3463.26         0.00E+00
3463.75         0.00E+00
3464.25         0.00E+00
3464.74         0.00E+00
3465.24         0.00E+00
3465.74         0.00E+00
3466.23         0.00E+00
3466.73         0.00E+00
3467.22         0.00E+00
3467.72         0.00E+00
3468.21         0.00E+00
3468.71         0.00E+00
3469.20         0.00E+00
3469.70         0.00E+00
3470.20         0.00E+00
3470.69         0.00E+00
3471.19         0.00E+00
3471.68         0.00E+00
3472.18         0.00E+00
3472.67         0.00E+00
3473.17         0.00E+00
3473.67         0.00E+00
3474.16         0.00E+00
3474.66         0.00E+00
3475.15         0.00E+00
3475.65         0.00E+00
3476.14         0.00E+00
3476.64         0.00E+00
3477.13         0.00E+00
3477.63         0.00E+00
3478.13         0.00E+00
3478.62         0.00E+00
3479.12         0.00E+00
3479.61         0.00E+00
3480.11         0.00E+00
3480.60         0.00E+00
3481.10         0.00E+00
3481.59         0.00E+00
3482.09         0.00E+00
3482.59         0.00E+00
3483.08         0.00E+00
3483.58         0.00E+00
3484.07         0.00E+00
3484.57         0.00E+00
3485.06         0.00E+00
3485.56         0.00E+00
3486.06         0.00E+00
3486.55         0.00E+00
3487.05         0.00E+00
3487.54         0.00E+00
3488.04         0.00E+00
3488.53         0.00E+00
3489.03         0.00E+00
3489.52         0.00E+00
3490.02         0.00E+00
3490.52         0.00E+00
3491.01         0.00E+00
3491.51         0.00E+00
3492.00         0.00E+00
3492.50         0.00E+00
3492.99         0.00E+00
3493.49         0.00E+00
3493.99         0.00E+00
3494.48         0.00E+00
3494.98         0.00E+00
3495.47         0.00E+00
3495.97         0.00E+00
3496.46         0.00E+00
3496.96         0.00E+00
3497.45         0.00E+00
3497.95         0.00E+00
3498.45         0.00E+00
3498.94         0.00E+00
3499.44         0.00E+00
3499.93         0.00E+00
3500.43         0.00E+00
3500.92         0.00E+00
3501.42         0.00E+00
3501.91         0.00E+00
3502.41         0.00E+00
3502.91         0.00E+00
3503.40         0.00E+00
3503.90         0.00E+00
3504.39         0.00E+00
3504.89         0.00E+00
3505.38         0.00E+00
3505.88         0.00E+00
3506.38         0.00E+00
3506.87         0.00E+00
3507.37         0.00E+00
3507.86         0.00E+00
3508.36         0.00E+00
3508.85         0.00E+00
3509.35         0.00E+00
3509.84         0.00E+00
3510.34         0.00E+00
3510.84         0.00E+00
3511.33         0.00E+00
3511.83         0.00E+00
3512.32         0.00E+00
3512.82         0.00E+00
3513.31         0.00E+00
3513.81         0.00E+00
3514.31         0.00E+00
3514.80         0.00E+00
3515.30         0.00E+00
3515.79         0.00E+00
3516.29         0.00E+00
3516.78         0.00E+00
3517.28         0.00E+00
3517.77         0.00E+00
3518.27         0.00E+00
3518.77         0.00E+00
3519.26         0.00E+00
3519.76         0.00E+00
3520.25         0.00E+00
3520.75         0.00E+00
3521.24         0.00E+00
3521.74         0.00E+00
3522.23         0.00E+00
3522.73         0.00E+00
3523.23         0.00E+00
3523.72         0.00E+00
3524.22         0.00E+00
3524.71         0.00E+00
