0 Branching ratio for SO      S/O        0 branches     
Lambda   S/O
2056.72         1.06E-17
2057.22         9.12E-18
2057.72         7.68E-18
2058.21         6.70E-18
2058.71         5.77E-18
2059.20         4.92E-18
2059.70         4.13E-18
2060.19         3.41E-18
2060.69         2.96E-18
2061.18         2.52E-18
2061.68         2.22E-18
2062.18         1.95E-18
2062.67         1.68E-18
2063.17         1.43E-18
2063.66         1.18E-18
2064.16         9.38E-19
2064.65         6.95E-19
2065.15         4.74E-19
2065.65         2.58E-19
2066.14         1.10E-19
2066.64         5.89E-20
2067.13         9.91E-21
2067.63         1.15E-20
2068.12         1.30E-20
2068.62         1.39E-20
2069.11         1.45E-20
2069.61         2.71E-20
2070.11         6.76E-20
2070.60         1.08E-19
2071.10         1.88E-19
2071.59         2.70E-19
2072.09         1.81E-18
2072.58         4.54E-18
2073.08         7.83E-18
2073.58         1.38E-17
2074.07         1.98E-17
2074.57         2.16E-17
2075.06         2.23E-17
2075.56         2.15E-17
2076.05         1.86E-17
2076.55         1.57E-17
2077.04         1.37E-17
2077.54         1.17E-17
2078.04         1.00E-17
2078.53         8.47E-18
2079.03         7.07E-18
2079.52         6.12E-18
2080.02         5.17E-18
2080.51         4.49E-18
2081.01         3.87E-18
2081.50         3.30E-18
2082.00         2.80E-18
2082.50         2.31E-18
2082.99         2.07E-18
2083.49         1.83E-18
2083.98         1.59E-18
2084.48         1.34E-18
2084.97         1.10E-18
2085.47         8.89E-19
2085.97         6.79E-19
2086.46         4.80E-19
2086.96         2.83E-19
2087.45         1.38E-19
2087.95         7.29E-20
2088.44         7.33E-21
2088.94         5.36E-21
2089.43         4.39E-21
2089.93         4.38E-21
2090.43         5.10E-21
2090.92         5.87E-21
2091.42         6.92E-21
2091.91         7.97E-21
2092.41         3.02E-20
2092.90         6.05E-20
2093.40         9.18E-20
2093.90         1.25E-19
2094.39         1.59E-19
2094.89         1.65E-18
2095.38         3.37E-18
2095.88         6.43E-18
2096.37         1.12E-17
2096.87         1.60E-17
2097.36         1.72E-17
2097.86         1.83E-17
2098.36         1.75E-17
2098.85         1.52E-17
2099.35         1.29E-17
2099.84         1.12E-17
2100.34         9.53E-18
2100.83         8.12E-18
2101.33         6.84E-18
2101.82         5.69E-18
2102.32         4.94E-18
2102.82         4.18E-18
2103.31         3.68E-18
2103.81         3.26E-18
2104.30         2.81E-18
2104.80         2.35E-18
2105.29         1.88E-18
2105.79         1.63E-18
2106.29         1.41E-18
2106.78         1.22E-18
2107.28         1.05E-18
2107.77         8.91E-19
2108.27         7.12E-19
2108.76         5.32E-19
2109.26         3.68E-19
2109.75         2.20E-19
2110.25         7.45E-20
2110.75         4.45E-20
2111.24         1.46E-20
2111.74         1.27E-21
2112.23         1.12E-21
2112.73         9.69E-22
2113.22         8.27E-22
2113.72         6.84E-22
2114.21         1.79E-21
2114.71         3.70E-21
2115.21         5.67E-21
2115.70         8.07E-21
2116.20         1.05E-20
2116.69         2.80E-20
2117.19         5.35E-20
2117.68         9.41E-20
2118.18         2.07E-19
2118.68         3.20E-19
2119.17         2.01E-18
2119.67         4.42E-18
2120.16         6.96E-18
2120.66         1.00E-17
2121.15         1.31E-17
2121.65         1.36E-17
2122.14         1.30E-17
2122.64         1.21E-17
2123.14         1.05E-17
2123.63         8.81E-18
2124.13         7.52E-18
2124.62         6.37E-18
2125.12         5.34E-18
2125.61         4.71E-18
2126.11         4.09E-18
2126.61         3.57E-18
2127.10         3.10E-18
2127.60         2.64E-18
2128.09         2.22E-18
2128.59         1.79E-18
2129.08         1.54E-18
2129.58         1.36E-18
2130.07         1.18E-18
2130.57         1.03E-18
2131.07         8.69E-19
2131.56         7.29E-19
2132.06         5.98E-19
2132.55         4.68E-19
2133.05         3.37E-19
2133.54         2.06E-19
2134.04         1.21E-19
2134.53         6.44E-20
2135.03         1.28E-20
2135.53         8.21E-21
2136.02         3.66E-21
2136.52         1.53E-21
2137.01         1.21E-21
2137.51         8.97E-22
2138.00         7.02E-22
2138.50         5.08E-22
2139.00         1.11E-21
2139.49         2.47E-21
2139.99         3.83E-21
2140.48         4.46E-21
2140.98         5.07E-21
2141.47         1.35E-20
2141.97         3.21E-20
2142.46         5.07E-20
2142.96         8.47E-20
2143.46         1.21E-19
2143.95         6.43E-19
2144.45         2.08E-18
2144.94         3.51E-18
2145.44         5.55E-18
2145.93         7.74E-18
2146.43         9.34E-18
2146.92         9.12E-18
2147.42         8.91E-18
2147.92         8.04E-18
2148.41         6.87E-18
2148.91         5.77E-18
2149.40         5.03E-18
2149.90         4.29E-18
2150.39         3.68E-18
2150.89         3.16E-18
2151.39         2.65E-18
2151.88         2.33E-18
2152.38         2.00E-18
2152.87         1.71E-18
2153.37         1.46E-18
2153.86         1.22E-18
2154.36         1.04E-18
2154.85         8.74E-19
2155.35         7.32E-19
2155.85         6.45E-19
2156.34         5.57E-19
2156.84         4.68E-19
2157.33         3.77E-19
2157.83         2.87E-19
2158.32         1.99E-19
2158.82         1.12E-19
2159.32         5.80E-20
2159.81         2.96E-20
2160.31         1.26E-21
2160.80         1.30E-21
2161.30         1.71E-21
2161.79         1.68E-21
2162.29         9.87E-22
2162.78         2.96E-22
2163.28         2.01E-22
2163.78         2.47E-22
2164.27         3.86E-22
2164.77         8.63E-22
2165.26         1.34E-21
2165.76         1.62E-21
2166.25         1.78E-21
2166.75         2.10E-21
2167.24         1.07E-20
2167.74         1.93E-20
2168.24         2.42E-20
2168.73         2.38E-20
2169.23         2.34E-20
2169.72         2.48E-19
