0 Branching ratio for H2S       Total        1 branches    
Lambda          Total          SH/H
1942.73         6.50E-18        6.50E-18
1943.23         6.53E-18        6.53E-18
1943.73         6.56E-18        6.56E-18
1944.22         6.58E-18        6.58E-18
1944.72         6.62E-18        6.62E-18
1945.21         6.65E-18        6.65E-18
1945.71         6.67E-18        6.67E-18
1946.20         6.70E-18        6.70E-18
1946.70         6.74E-18        6.74E-18
1947.20         6.77E-18        6.77E-18
1947.69         6.80E-18        6.80E-18
1948.19         6.83E-18        6.83E-18
1948.68         6.86E-18        6.86E-18
1949.18         6.89E-18        6.89E-18
1949.67         6.91E-18        6.91E-18
1950.17         6.94E-18        6.94E-18
1950.66         6.97E-18        6.97E-18
1951.16         6.98E-18        6.98E-18
1951.66         7.02E-18        7.02E-18
1952.15         7.03E-18        7.03E-18
1952.65         7.05E-18        7.05E-18
1953.14         7.09E-18        7.09E-18
1953.64         7.11E-18        7.11E-18
1954.13         7.12E-18        7.12E-18
1954.63         7.14E-18        7.14E-18
1955.13         7.16E-18        7.16E-18
1955.62         7.18E-18        7.18E-18
1956.12         7.20E-18        7.20E-18
1956.61         7.20E-18        7.20E-18
1957.11         7.22E-18        7.22E-18
1957.60         7.22E-18        7.22E-18
1958.10         7.24E-18        7.24E-18
1958.59         7.24E-18        7.24E-18
1959.09         7.24E-18        7.24E-18
1959.59         7.24E-18        7.24E-18
1960.08         7.24E-18        7.24E-18
1960.58         7.24E-18        7.24E-18
1961.07         7.25E-18        7.25E-18
1961.57         7.23E-18        7.23E-18
1962.06         7.23E-18        7.23E-18
1962.56         7.22E-18        7.22E-18
1963.05         7.20E-18        7.20E-18
1963.55         7.21E-18        7.21E-18
1964.05         7.20E-18        7.20E-18
1964.54         7.19E-18        7.19E-18
1965.04         7.17E-18        7.17E-18
1965.53         7.16E-18        7.16E-18
1966.03         7.16E-18        7.16E-18
1966.52         7.14E-18        7.14E-18
1967.02         7.12E-18        7.12E-18
1967.52         7.10E-18        7.10E-18
