0 Branching ratio for SO2       Total        1 branches    
Lambda          Total           SO/O
1933.32         9.69E-18        9.69E-18
1933.81         8.32E-18        8.32E-18
1934.31         8.03E-18        8.03E-18
1934.81         7.77E-18        7.77E-18
1935.30         7.50E-18        7.50E-18
1935.80         7.02E-18        7.02E-18
1936.29         6.37E-18        6.37E-18
1936.79         5.77E-18        5.77E-18
1937.28         5.35E-18        5.35E-18
1937.78         5.27E-18        5.27E-18
1938.27         5.25E-18        5.25E-18
1938.77         5.29E-18        5.29E-18
1939.27         5.52E-18        5.52E-18
1939.76         5.63E-18        5.63E-18
1940.26         5.48E-18        5.48E-18
1940.75         5.27E-18        5.27E-18
1941.25         5.32E-18        5.32E-18
1941.74         5.52E-18        5.52E-18
1942.24         5.68E-18        5.68E-18
1942.73         6.35E-18        6.35E-18
1943.23         8.01E-18        8.01E-18
1943.73         9.13E-18        9.13E-18
1944.22         8.83E-18        8.83E-18
1944.72         8.01E-18        8.01E-18
1945.21         7.11E-18        7.11E-18
1945.71         6.52E-18        6.52E-18
1946.20         7.33E-18        7.33E-18
1946.70         9.48E-18        9.48E-18
1947.20         1.18E-17        1.18E-17
1947.69         1.35E-17        1.35E-17
1948.19         1.38E-17        1.38E-17
1948.68         1.23E-17        1.23E-17
1949.18         1.06E-17        1.06E-17
1949.67         8.96E-18        8.96E-18
1950.17         7.70E-18        7.70E-18
1950.66         6.62E-18        6.62E-18
1951.16         5.93E-18        5.93E-18
1951.66         5.80E-18        5.80E-18
1952.15         5.78E-18        5.78E-18
1952.65         5.47E-18        5.47E-18
1953.14         5.44E-18        5.44E-18
1953.64         5.56E-18        5.56E-18
1954.13         5.70E-18        5.70E-18
1954.63         5.65E-18        5.65E-18
1955.13         5.62E-18        5.62E-18
1955.62         5.29E-18        5.29E-18
1956.12         4.83E-18        4.83E-18
1956.61         4.27E-18        4.27E-18
1957.11         3.85E-18        3.85E-18
1957.60         3.56E-18        3.56E-18
1958.10         3.66E-18        3.66E-18
1958.59         4.61E-18        4.61E-18
1959.09         6.75E-18        6.75E-18
1959.59         9.64E-18        9.64E-18
1960.08         1.31E-17        1.31E-17
1960.58         1.63E-17        1.63E-17
1961.07         1.64E-17        1.64E-17
1961.57         1.45E-17        1.45E-17
1962.06         1.30E-17        1.30E-17
1962.56         1.18E-17        1.18E-17
1963.05         1.10E-17        1.10E-17
1963.55         1.01E-17        1.01E-17
