0 Branching ratio for OCS       Total        1 branches    
Lambda          Total           CO/S
1985.36         2.74E-20        2.74E-20
1985.85         2.79E-20        2.79E-20
1986.35         2.80E-20        2.80E-20
1986.84         2.86E-20        2.86E-20
1987.34         2.83E-20        2.83E-20
1987.84         2.83E-20        2.83E-20
1988.33         2.88E-20        2.88E-20
1988.83         2.88E-20        2.88E-20
1989.32         2.87E-20        2.87E-20
1989.82         2.91E-20        2.91E-20
1990.31         2.93E-20        2.93E-20
1990.81         2.99E-20        2.99E-20
1991.30         3.03E-20        3.03E-20
1991.80         3.06E-20        3.06E-20
1992.30         3.09E-20        3.09E-20
1992.79         3.12E-20        3.12E-20
1993.29         3.18E-20        3.18E-20
1993.78         3.14E-20        3.14E-20
1994.28         3.20E-20        3.20E-20
1994.77         3.23E-20        3.23E-20
1995.27         3.23E-20        3.23E-20
1995.76         3.22E-20        3.22E-20
1996.26         3.28E-20        3.28E-20
1996.76         3.25E-20        3.25E-20
1997.25         3.34E-20        3.34E-20
1997.75         3.35E-20        3.35E-20
1998.24         3.33E-20        3.33E-20
1998.74         3.39E-20        3.39E-20
1999.23         3.42E-20        3.42E-20
1999.73         3.44E-20        3.44E-20
2000.23         3.46E-20        3.46E-20
2000.72         3.50E-20        3.50E-20
2001.22         3.55E-20        3.55E-20
2001.71         3.54E-20        3.54E-20
2002.21         3.58E-20        3.58E-20
2002.70         3.56E-20        3.56E-20
2003.20         3.53E-20        3.53E-20
2003.69         3.56E-20        3.56E-20
2004.19         3.58E-20        3.58E-20
2004.69         3.61E-20        3.61E-20
2005.18         3.71E-20        3.71E-20
2005.68         3.72E-20        3.72E-20
2006.17         3.82E-20        3.82E-20
2006.67         3.85E-20        3.85E-20
2007.16         3.95E-20        3.95E-20
2007.66         4.00E-20        4.00E-20
2008.15         4.06E-20        4.06E-20
2008.65         4.07E-20        4.07E-20
2009.15         4.06E-20        4.06E-20
2009.64         4.08E-20        4.08E-20
2010.14         4.11E-20        4.11E-20
2010.63         4.08E-20        4.08E-20
2011.13         4.10E-20        4.10E-20
2011.62         4.12E-20        4.12E-20
2012.12         4.20E-20        4.20E-20
2012.62         4.24E-20        4.24E-20
2013.11         4.27E-20        4.27E-20
2013.61         4.32E-20        4.32E-20
2014.10         4.34E-20        4.34E-20
2014.60         4.40E-20        4.40E-20
2015.09         4.41E-20        4.41E-20
2015.59         4.46E-20        4.46E-20
2016.08         4.47E-20        4.47E-20
2016.58         4.48E-20        4.48E-20
2017.08         4.47E-20        4.47E-20
2017.57         4.46E-20        4.46E-20
2018.07         4.48E-20        4.48E-20
2018.56         4.49E-20        4.49E-20
2019.06         4.54E-20        4.54E-20
2019.55         4.57E-20        4.57E-20
2020.05         4.58E-20        4.58E-20
2020.55         4.61E-20        4.61E-20
2021.04         4.65E-20        4.65E-20
2021.54         4.73E-20        4.73E-20
2022.03         4.80E-20        4.80E-20
2022.53         4.84E-20        4.84E-20
2023.02         4.94E-20        4.94E-20
2023.52         4.96E-20        4.96E-20
2024.01         4.99E-20        4.99E-20
2024.51         4.94E-20        4.94E-20
2025.01         4.94E-20        4.94E-20
2025.50         4.96E-20        4.96E-20
2026.00         5.01E-20        5.01E-20
2026.49         5.07E-20        5.07E-20
2026.99         5.08E-20        5.08E-20
2027.48         5.12E-20        5.12E-20
2027.98         5.21E-20        5.21E-20
2028.47         5.29E-20        5.29E-20
2028.97         5.39E-20        5.39E-20
2029.47         5.43E-20        5.43E-20
2029.96         5.52E-20        5.52E-20
2030.46         5.60E-20        5.60E-20
2030.95         5.64E-20        5.64E-20
2031.45         5.66E-20        5.66E-20
2031.94         5.66E-20        5.66E-20
2032.44         5.66E-20        5.66E-20
2032.94         5.66E-20        5.66E-20
2033.43         5.69E-20        5.69E-20
2033.93         5.71E-20        5.71E-20
2034.42         5.76E-20        5.76E-20
2034.92         5.88E-20        5.88E-20
2035.41         6.00E-20        6.00E-20
2035.91         6.09E-20        6.09E-20
2036.40         6.18E-20        6.18E-20
2036.90         6.27E-20        6.27E-20
2037.40         6.30E-20        6.30E-20
2037.89         6.33E-20        6.33E-20
2038.39         6.35E-20        6.35E-20
2038.88         6.35E-20        6.35E-20
2039.38         6.36E-20        6.36E-20
2039.87         6.37E-20        6.37E-20
2040.37         6.41E-20        6.41E-20
2040.87         6.44E-20        6.44E-20
2041.36         6.49E-20        6.49E-20
2041.86         6.49E-20        6.49E-20
2042.35         6.48E-20        6.48E-20
2042.85         6.52E-20        6.52E-20
2043.34         6.52E-20        6.52E-20
2043.84         6.56E-20        6.56E-20
2044.33         6.67E-20        6.67E-20
2044.83         6.76E-20        6.76E-20
2045.33         6.81E-20        6.81E-20
2045.82         6.88E-20        6.88E-20
2046.32         6.88E-20        6.88E-20
2046.81         6.94E-20        6.94E-20
2047.31         6.98E-20        6.98E-20
2047.80         6.98E-20        6.98E-20
2048.30         6.96E-20        6.96E-20
2048.79         6.95E-20        6.95E-20
2049.29         7.02E-20        7.02E-20
2049.79         7.03E-20        7.03E-20
2050.28         7.03E-20        7.03E-20
2050.78         7.06E-20        7.06E-20
2051.27         7.15E-20        7.15E-20
2051.77         7.27E-20        7.27E-20
2052.26         7.33E-20        7.33E-20
2052.76         7.41E-20        7.41E-20
2053.26         7.53E-20        7.53E-20
2053.75         7.63E-20        7.63E-20
2054.25         7.66E-20        7.66E-20
2054.74         7.72E-20        7.72E-20
2055.24         7.83E-20        7.83E-20
2055.73         7.86E-20        7.86E-20
2056.23         7.90E-20        7.90E-20
2056.72         7.96E-20        7.96E-20
2057.22         8.02E-20        8.02E-20
2057.72         8.10E-20        8.10E-20
2058.21         8.18E-20        8.18E-20
2058.71         8.24E-20        8.24E-20
2059.20         8.29E-20        8.29E-20
2059.70         8.42E-20        8.42E-20
2060.19         8.54E-20        8.54E-20
2060.69         8.60E-20        8.60E-20
2061.18         8.67E-20        8.67E-20
2061.68         8.75E-20        8.75E-20
2062.18         8.78E-20        8.78E-20
2062.67         8.87E-20        8.87E-20
2063.17         8.92E-20        8.92E-20
2063.66         8.98E-20        8.98E-20
2064.16         9.03E-20        9.03E-20
2064.65         9.08E-20        9.08E-20
2065.15         9.12E-20        9.12E-20
2065.65         9.08E-20        9.08E-20
2066.14         9.09E-20        9.09E-20
2066.64         9.13E-20        9.13E-20
2067.13         9.21E-20        9.21E-20
2067.63         9.25E-20        9.25E-20
2068.12         9.32E-20        9.32E-20
2068.62         9.33E-20        9.33E-20
2069.11         9.41E-20        9.41E-20
2069.61         9.47E-20        9.47E-20
2070.11         9.59E-20        9.59E-20
2070.60         9.64E-20        9.64E-20
2071.10         9.76E-20        9.76E-20
2071.59         9.82E-20        9.82E-20
2072.09         9.82E-20        9.82E-20
2072.58         9.78E-20        9.78E-20
2073.08         9.74E-20        9.74E-20
2073.58         9.73E-20        9.73E-20
2074.07         9.84E-20        9.84E-20
2074.57         9.94E-20        9.94E-20
2075.06         1.00E-19        1.00E-19
2075.56         1.01E-19        1.01E-19
