0 Branching ratio for O2       Total        1 branches    
Lambda          Total           O/O
2898.27         5.25E-25        0.00E+00
2898.76         5.23E-25        0.00E+00
2899.26         5.20E-25        0.00E+00
2899.75         5.19E-25        0.00E+00
2900.25         5.18E-25        0.00E+00
2900.74         5.18E-25        0.00E+00
2901.24         5.18E-25        0.00E+00
2901.73         5.17E-25        0.00E+00
2902.23         5.18E-25        0.00E+00
2902.73         5.19E-25        0.00E+00
2903.22         5.18E-25        0.00E+00
2903.72         5.16E-25        0.00E+00
2904.21         5.17E-25        0.00E+00
2904.71         5.20E-25        0.00E+00
2905.20         5.21E-25        0.00E+00
2905.70         5.18E-25        0.00E+00
2906.20         5.15E-25        0.00E+00
2906.69         5.13E-25        0.00E+00
2907.19         5.12E-25        0.00E+00
2907.68         5.11E-25        0.00E+00
2908.18         5.09E-25        0.00E+00
2908.67         5.08E-25        0.00E+00
2909.17         5.07E-25        0.00E+00
2909.66         5.05E-25        0.00E+00
2910.16         5.02E-25        0.00E+00
2910.66         4.99E-25        0.00E+00
2911.15         4.98E-25        0.00E+00
2911.65         4.97E-25        0.00E+00
2912.14         4.97E-25        0.00E+00
2912.64         4.98E-25        0.00E+00
2913.13         4.98E-25        0.00E+00
2913.63         4.98E-25        0.00E+00
2914.12         4.99E-25        0.00E+00
2914.62         5.00E-25        0.00E+00
2915.12         5.01E-25        0.00E+00
2915.61         4.98E-25        0.00E+00
2916.11         4.96E-25        0.00E+00
2916.60         4.94E-25        0.00E+00
2917.10         4.92E-25        0.00E+00
2917.59         4.92E-25        0.00E+00
2918.09         4.92E-25        0.00E+00
2918.59         4.92E-25        0.00E+00
2919.08         4.91E-25        0.00E+00
2919.58         4.91E-25        0.00E+00
2920.07         4.92E-25        0.00E+00
2920.57         4.92E-25        0.00E+00
2921.06         4.88E-25        0.00E+00
2921.56         4.85E-25        0.00E+00
2922.05         4.88E-25        0.00E+00
2922.55         4.91E-25        0.00E+00
2923.05         4.90E-25        0.00E+00
2923.54         4.87E-25        0.00E+00
2924.04         4.85E-25        0.00E+00
2924.53         4.85E-25        0.00E+00
2925.03         4.85E-25        0.00E+00
2925.52         4.83E-25        0.00E+00
2926.02         4.81E-25        0.00E+00
2926.51         4.84E-25        0.00E+00
2927.01         4.87E-25        0.00E+00
2927.51         4.87E-25        0.00E+00
2928.00         4.86E-25        0.00E+00
2928.50         4.84E-25        0.00E+00
2928.99         4.81E-25        0.00E+00
2929.49         4.80E-25        0.00E+00
2929.98         4.81E-25        0.00E+00
2930.48         4.81E-25        0.00E+00
2930.98         4.81E-25        0.00E+00
2931.47         4.81E-25        0.00E+00
2931.97         4.78E-25        0.00E+00
2932.46         4.75E-25        0.00E+00
2932.96         4.75E-25        0.00E+00
2933.45         4.74E-25        0.00E+00
2933.95         4.73E-25        0.00E+00
2934.44         4.71E-25        0.00E+00
2934.94         4.69E-25        0.00E+00
2935.44         4.69E-25        0.00E+00
2935.93         4.69E-25        0.00E+00
2936.43         4.69E-25        0.00E+00
2936.92         4.69E-25        0.00E+00
2937.42         4.68E-25        0.00E+00
2937.91         4.67E-25        0.00E+00
2938.41         4.67E-25        0.00E+00
2938.91         4.69E-25        0.00E+00
2939.40         4.70E-25        0.00E+00
2939.90         4.69E-25        0.00E+00
2940.39         4.69E-25        0.00E+00
2940.89         4.68E-25        0.00E+00
2941.38         4.66E-25        0.00E+00
2941.88         4.66E-25        0.00E+00
2942.37         4.67E-25        0.00E+00
2942.87         4.67E-25        0.00E+00
2943.37         4.68E-25        0.00E+00
2943.86         4.69E-25        0.00E+00
2944.36         4.69E-25        0.00E+00
2944.85         4.68E-25        0.00E+00
2945.35         4.66E-25        0.00E+00
2945.84         4.65E-25        0.00E+00
2946.34         4.64E-25        0.00E+00
2946.83         4.64E-25        0.00E+00
2947.33         4.65E-25        0.00E+00
2947.83         4.67E-25        0.00E+00
2948.32         4.67E-25        0.00E+00
2948.82         4.66E-25        0.00E+00
2949.31         4.64E-25        0.00E+00
2949.81         4.63E-25        0.00E+00
2950.30         4.61E-25        0.00E+00
2950.80         4.60E-25        0.00E+00
2951.30         4.60E-25        0.00E+00
2951.79         4.59E-25        0.00E+00
2952.29         4.58E-25        0.00E+00
2952.78         4.58E-25        0.00E+00
2953.28         4.59E-25        0.00E+00
2953.77         4.60E-25        0.00E+00
2954.27         4.62E-25        0.00E+00
2954.76         4.64E-25        0.00E+00
2955.26         4.62E-25        0.00E+00
2955.76         4.60E-25        0.00E+00
2956.25         4.60E-25        0.00E+00
2956.75         4.60E-25        0.00E+00
2957.24         4.61E-25        0.00E+00
2957.74         4.62E-25        0.00E+00
2958.23         4.61E-25        0.00E+00
2958.73         4.60E-25        0.00E+00
2959.23         4.60E-25        0.00E+00
2959.72         4.62E-25        0.00E+00
2960.22         4.63E-25        0.00E+00
2960.71         4.63E-25        0.00E+00
2961.21         4.63E-25        0.00E+00
2961.70         4.60E-25        0.00E+00
2962.20         4.58E-25        0.00E+00
2962.69         4.58E-25        0.00E+00
2963.19         4.58E-25        0.00E+00
2963.69         4.59E-25        0.00E+00
2964.18         4.58E-25        0.00E+00
2964.68         4.59E-25        0.00E+00
2965.17         4.61E-25        0.00E+00
2965.67         4.63E-25        0.00E+00
2966.16         4.63E-25        0.00E+00
2966.66         4.63E-25        0.00E+00
2967.15         4.61E-25        0.00E+00
2967.65         4.59E-25        0.00E+00
2968.15         4.58E-25        0.00E+00
2968.64         4.59E-25        0.00E+00
2969.14         4.59E-25        0.00E+00
2969.63         4.59E-25        0.00E+00
2970.13         4.59E-25        0.00E+00
2970.62         4.59E-25        0.00E+00
2971.12         4.60E-25        0.00E+00
2971.62         4.57E-25        0.00E+00
2972.11         4.54E-25        0.00E+00
2972.61         4.54E-25        0.00E+00
2973.10         4.55E-25        0.00E+00
2973.60         4.55E-25        0.00E+00
2974.09         4.56E-25        0.00E+00
2974.59         4.55E-25        0.00E+00
2975.08         4.52E-25        0.00E+00
2975.58         4.49E-25        0.00E+00
2976.08         4.52E-25        0.00E+00
2976.57         4.54E-25        0.00E+00
2977.07         4.58E-25        0.00E+00
2977.56         4.61E-25        0.00E+00
2978.06         4.60E-25        0.00E+00
2978.55         4.56E-25        0.00E+00
2979.05         4.53E-25        0.00E+00
2979.54         4.52E-25        0.00E+00
2980.04         4.51E-25        0.00E+00
2980.54         4.52E-25        0.00E+00
2981.03         4.52E-25        0.00E+00
2981.53         4.51E-25        0.00E+00
2982.02         4.50E-25        0.00E+00
2982.52         4.50E-25        0.00E+00
2983.01         4.51E-25        0.00E+00
2983.51         4.51E-25        0.00E+00
2984.01         4.51E-25        0.00E+00
2984.50         4.50E-25        0.00E+00
2985.00         4.49E-25        0.00E+00
2985.49         4.49E-25        0.00E+00
2985.99         4.48E-25        0.00E+00
2986.48         4.47E-25        0.00E+00
2986.98         4.47E-25        0.00E+00
2987.47         4.46E-25        0.00E+00
2987.97         4.45E-25        0.00E+00
2988.47         4.45E-25        0.00E+00
2988.96         4.43E-25        0.00E+00
2989.46         4.42E-25        0.00E+00
2989.95         4.41E-25        0.00E+00
2990.45         4.43E-25        0.00E+00
2990.94         4.45E-25        0.00E+00
2991.44         4.47E-25        0.00E+00
2991.94         4.49E-25        0.00E+00
2992.43         4.48E-25        0.00E+00
2992.93         4.46E-25        0.00E+00
2993.42         4.46E-25        0.00E+00
2993.92         4.47E-25        0.00E+00
2994.41         4.46E-25        0.00E+00
2994.91         4.42E-25        0.00E+00
2995.40         4.40E-25        0.00E+00
2995.90         4.41E-25        0.00E+00
2996.40         4.42E-25        0.00E+00
2996.89         4.42E-25        0.00E+00
2997.39         4.41E-25        0.00E+00
2997.88         4.41E-25        0.00E+00
2998.38         4.40E-25        0.00E+00
2998.87         4.39E-25        0.00E+00
2999.37         4.38E-25        0.00E+00
2999.86         4.37E-25        0.00E+00
3000.36         4.35E-25        0.00E+00
3000.86         4.34E-25        0.00E+00
3001.35         4.37E-25        0.00E+00
3001.85         4.39E-25        0.00E+00
3002.34         4.40E-25        0.00E+00
3002.84         4.41E-25        0.00E+00
3003.33         4.40E-25        0.00E+00
3003.83         4.39E-25        0.00E+00
3004.33         4.38E-25        0.00E+00
3004.82         4.38E-25        0.00E+00
3005.32         4.37E-25        0.00E+00
3005.81         4.38E-25        0.00E+00
3006.31         4.38E-25        0.00E+00
3006.80         4.38E-25        0.00E+00
3007.30         4.39E-25        0.00E+00
3007.79         4.39E-25        0.00E+00
3008.29         4.39E-25        0.00E+00
3008.79         4.38E-25        0.00E+00
3009.28         4.37E-25        0.00E+00
3009.78         4.36E-25        0.00E+00
3010.27         4.34E-25        0.00E+00
3010.77         4.33E-25        0.00E+00
3011.26         4.31E-25        0.00E+00
3011.76         4.29E-25        0.00E+00
3012.26         4.28E-25        0.00E+00
3012.75         4.27E-25        0.00E+00
3013.25         4.29E-25        0.00E+00
3013.74         4.32E-25        0.00E+00
3014.24         4.33E-25        0.00E+00
3014.73         4.32E-25        0.00E+00
3015.23         4.31E-25        0.00E+00
3015.72         4.30E-25        0.00E+00
3016.22         4.29E-25        0.00E+00
3016.72         4.33E-25        0.00E+00
3017.21         4.37E-25        0.00E+00
3017.71         4.37E-25        0.00E+00
3018.20         4.35E-25        0.00E+00
3018.70         4.35E-25        0.00E+00
3019.19         4.34E-25        0.00E+00
3019.69         4.34E-25        0.00E+00
3020.18         4.34E-25        0.00E+00
3020.68         4.33E-25        0.00E+00
3021.18         4.33E-25        0.00E+00
3021.67         4.32E-25        0.00E+00
3022.17         4.33E-25        0.00E+00
3022.66         4.33E-25        0.00E+00
3023.16         4.33E-25        0.00E+00
3023.65         4.32E-25        0.00E+00
3024.15         4.33E-25        0.00E+00
3024.65         4.35E-25        0.00E+00
3025.14         4.35E-25        0.00E+00
3025.64         4.34E-25        0.00E+00
3026.13         4.33E-25        0.00E+00
3026.63         4.34E-25        0.00E+00
3027.12         4.36E-25        0.00E+00
3027.62         4.36E-25        0.00E+00
3028.11         4.37E-25        0.00E+00
3028.61         4.36E-25        0.00E+00
3029.11         4.36E-25        0.00E+00
3029.60         4.35E-25        0.00E+00
3030.10         4.34E-25        0.00E+00
3030.59         4.32E-25        0.00E+00
3031.09         4.32E-25        0.00E+00
3031.58         4.31E-25        0.00E+00
3032.08         4.32E-25        0.00E+00
3032.57         4.32E-25        0.00E+00
3033.07         4.32E-25        0.00E+00
3033.57         4.31E-25        0.00E+00
3034.06         4.30E-25        0.00E+00
3034.56         4.31E-25        0.00E+00
3035.05         4.31E-25        0.00E+00
3035.55         4.33E-25        0.00E+00
3036.04         4.34E-25        0.00E+00
3036.54         4.32E-25        0.00E+00
3037.04         4.30E-25        0.00E+00
3037.53         4.32E-25        0.00E+00
3038.03         4.34E-25        0.00E+00
3038.52         4.31E-25        0.00E+00
3039.02         4.28E-25        0.00E+00
3039.51         4.27E-25        0.00E+00
3040.01         4.26E-25        0.00E+00
3040.50         4.27E-25        0.00E+00
3041.00         4.31E-25        0.00E+00
3041.50         4.35E-25        0.00E+00
3041.99         4.35E-25        0.00E+00
3042.49         4.34E-25        0.00E+00
3042.98         4.35E-25        0.00E+00
3043.48         4.35E-25        0.00E+00
3043.97         4.34E-25        0.00E+00
3044.47         4.32E-25        0.00E+00
3044.97         4.32E-25        0.00E+00
3045.46         4.34E-25        0.00E+00
3045.96         4.36E-25        0.00E+00
3046.45         4.35E-25        0.00E+00
3046.95         4.34E-25        0.00E+00
3047.44         4.34E-25        0.00E+00
3047.94         4.35E-25        0.00E+00
3048.43         4.35E-25        0.00E+00
3048.93         4.35E-25        0.00E+00
3049.43         4.34E-25        0.00E+00
3049.92         4.33E-25        0.00E+00
3050.42         4.32E-25        0.00E+00
3050.91         4.32E-25        0.00E+00
3051.41         4.32E-25        0.00E+00
3051.90         4.30E-25        0.00E+00
3052.40         4.27E-25        0.00E+00
3052.89         4.27E-25        0.00E+00
3053.39         4.27E-25        0.00E+00
3053.89         4.29E-25        0.00E+00
3054.38         4.31E-25        0.00E+00
3054.88         4.32E-25        0.00E+00
3055.37         4.31E-25        0.00E+00
3055.87         4.31E-25        0.00E+00
3056.36         4.30E-25        0.00E+00
3056.86         4.30E-25        0.00E+00
3057.36         4.31E-25        0.00E+00
3057.85         4.32E-25        0.00E+00
3058.35         4.33E-25        0.00E+00
3058.84         4.34E-25        0.00E+00
3059.34         4.33E-25        0.00E+00
3059.83         4.31E-25        0.00E+00
3060.33         4.31E-25        0.00E+00
3060.82         4.31E-25        0.00E+00
3061.32         4.32E-25        0.00E+00
3061.82         4.35E-25        0.00E+00
3062.31         4.37E-25        0.00E+00
3062.81         4.37E-25        0.00E+00
3063.30         4.36E-25        0.00E+00
3063.80         4.35E-25        0.00E+00
3064.29         4.33E-25        0.00E+00
3064.79         4.34E-25        0.00E+00
3065.28         4.36E-25        0.00E+00
3065.78         4.37E-25        0.00E+00
3066.28         4.37E-25        0.00E+00
3066.77         4.37E-25        0.00E+00
3067.27         4.35E-25        0.00E+00
3067.76         4.32E-25        0.00E+00
3068.26         4.33E-25        0.00E+00
3068.75         4.33E-25        0.00E+00
3069.25         4.34E-25        0.00E+00
3069.75         4.34E-25        0.00E+00
3070.24         4.35E-25        0.00E+00
3070.74         4.36E-25        0.00E+00
3071.23         4.35E-25        0.00E+00
3071.73         4.34E-25        0.00E+00
3072.22         4.32E-25        0.00E+00
3072.72         4.32E-25        0.00E+00
3073.21         4.32E-25        0.00E+00
3073.71         4.31E-25        0.00E+00
3074.21         4.30E-25        0.00E+00
3074.70         4.30E-25        0.00E+00
3075.20         4.30E-25        0.00E+00
3075.69         4.32E-25        0.00E+00
3076.19         4.35E-25        0.00E+00
3076.68         4.36E-25        0.00E+00
3077.18         4.35E-25        0.00E+00
3077.68         4.33E-25        0.00E+00
3078.17         4.32E-25        0.00E+00
3078.67         4.31E-25        0.00E+00
3079.16         4.33E-25        0.00E+00
3079.66         4.35E-25        0.00E+00
3080.15         4.34E-25        0.00E+00
3080.65         4.32E-25        0.00E+00
3081.14         4.31E-25        0.00E+00
3081.64         4.32E-25        0.00E+00
3082.14         4.33E-25        0.00E+00
3082.63         4.35E-25        0.00E+00
3083.13         4.36E-25        0.00E+00
3083.62         4.32E-25        0.00E+00
3084.12         4.28E-25        0.00E+00
3084.61         4.29E-25        0.00E+00
3085.11         4.29E-25        0.00E+00
3085.60         4.30E-25        0.00E+00
3086.10         4.32E-25        0.00E+00
3086.60         4.33E-25        0.00E+00
3087.09         4.34E-25        0.00E+00
3087.59         4.34E-25        0.00E+00
3088.08         4.30E-25        0.00E+00
3088.58         4.27E-25        0.00E+00
3089.07         4.29E-25        0.00E+00
3089.57         4.30E-25        0.00E+00
3090.07         4.31E-25        0.00E+00
3090.56         4.31E-25        0.00E+00
3091.06         4.30E-25        0.00E+00
3091.55         4.29E-25        0.00E+00
3092.05         4.28E-25        0.00E+00
3092.54         4.28E-25        0.00E+00
3093.04         4.27E-25        0.00E+00
3093.53         4.25E-25        0.00E+00
3094.03         4.24E-25        0.00E+00
3094.53         4.25E-25        0.00E+00
3095.02         4.26E-25        0.00E+00
3095.52         4.27E-25        0.00E+00
3096.01         4.28E-25        0.00E+00
3096.51         4.28E-25        0.00E+00
3097.00         4.28E-25        0.00E+00
3097.50         4.28E-25        0.00E+00
3098.00         4.30E-25        0.00E+00
3098.49         4.31E-25        0.00E+00
3098.99         4.30E-25        0.00E+00
3099.48         4.26E-25        0.00E+00
3099.98         3.89E-25        0.00E+00
3100.47         3.88E-25        0.00E+00
3100.97         3.86E-25        0.00E+00
3101.46         3.88E-25        0.00E+00
3101.96         3.91E-25        0.00E+00
3102.46         3.92E-25        0.00E+00
3102.95         3.91E-25        0.00E+00
3103.45         3.89E-25        0.00E+00
3103.94         3.87E-25        0.00E+00
3104.44         3.84E-25        0.00E+00
3104.93         3.82E-25        0.00E+00
3105.43         3.79E-25        0.00E+00
3105.92         3.80E-25        0.00E+00
3106.42         3.82E-25        0.00E+00
3106.92         3.84E-25        0.00E+00
3107.41         3.86E-25        0.00E+00
3107.91         3.87E-25        0.00E+00
3108.40         3.88E-25        0.00E+00
3108.90         3.88E-25        0.00E+00
3109.39         3.86E-25        0.00E+00
3109.89         3.82E-25        0.00E+00
3110.39         3.79E-25        0.00E+00
3110.88         3.81E-25        0.00E+00
3111.38         3.83E-25        0.00E+00
3111.87         3.82E-25        0.00E+00
3112.37         3.80E-25        0.00E+00
3112.86         3.81E-25        0.00E+00
3113.36         3.83E-25        0.00E+00
3113.85         3.83E-25        0.00E+00
3114.35         3.82E-25        0.00E+00
3114.85         3.80E-25        0.00E+00
3115.34         3.83E-25        0.00E+00
3115.84         3.86E-25        0.00E+00
3116.33         3.87E-25        0.00E+00
3116.83         3.86E-25        0.00E+00
3117.32         3.86E-25        0.00E+00
3117.82         3.88E-25        0.00E+00
3118.31         3.90E-25        0.00E+00
3118.81         3.87E-25        0.00E+00
3119.31         3.85E-25        0.00E+00
3119.80         3.87E-25        0.00E+00
3120.30         3.91E-25        0.00E+00
3120.79         3.92E-25        0.00E+00
3121.29         3.89E-25        0.00E+00
3121.78         3.86E-25        0.00E+00
3122.28         3.84E-25        0.00E+00
3122.78         3.83E-25        0.00E+00
3123.27         3.82E-25        0.00E+00
3123.77         3.81E-25        0.00E+00
3124.26         3.83E-25        0.00E+00
3124.76         3.87E-25        0.00E+00
3125.25         3.90E-25        0.00E+00
3125.75         3.87E-25        0.00E+00
3126.24         3.84E-25        0.00E+00
3126.74         3.85E-25        0.00E+00
3127.24         3.87E-25        0.00E+00
3127.73         3.87E-25        0.00E+00
3128.23         3.86E-25        0.00E+00
3128.72         3.84E-25        0.00E+00
3129.22         3.84E-25        0.00E+00
3129.71         3.83E-25        0.00E+00
3130.21         3.83E-25        0.00E+00
3130.71         3.83E-25        0.00E+00
3131.20         3.84E-25        0.00E+00
3131.70         3.85E-25        0.00E+00
3132.19         3.86E-25        0.00E+00
3132.69         3.84E-25        0.00E+00
3133.18         3.81E-25        0.00E+00
3133.68         3.81E-25        0.00E+00
3134.17         3.81E-25        0.00E+00
3134.67         3.81E-25        0.00E+00
3135.17         3.82E-25        0.00E+00
3135.66         3.83E-25        0.00E+00
3136.16         3.85E-25        0.00E+00
3136.65         3.87E-25        0.00E+00
3137.15         3.85E-25        0.00E+00
3137.64         3.83E-25        0.00E+00
3138.14         3.84E-25        0.00E+00
3138.63         3.85E-25        0.00E+00
3139.13         3.86E-25        0.00E+00
3139.63         3.86E-25        0.00E+00
3140.12         3.86E-25        0.00E+00
3140.62         3.89E-25        0.00E+00
3141.11         3.92E-25        0.00E+00
3141.61         3.90E-25        0.00E+00
3142.10         3.88E-25        0.00E+00
3142.60         3.87E-25        0.00E+00
3143.10         3.88E-25        0.00E+00
3143.59         3.88E-25        0.00E+00
3144.09         3.89E-25        0.00E+00
3144.58         3.90E-25        0.00E+00
3145.08         3.90E-25        0.00E+00
3145.57         3.89E-25        0.00E+00
3146.07         3.89E-25        0.00E+00
3146.56         3.91E-25        0.00E+00
3147.06         3.93E-25        0.00E+00
3147.56         3.95E-25        0.00E+00
3148.05         3.97E-25        0.00E+00
3148.55         3.94E-25        0.00E+00
3149.04         3.91E-25        0.00E+00
3149.54         3.93E-25        0.00E+00
3150.03         3.99E-25        0.00E+00
3150.53         4.02E-25        0.00E+00
3151.03         4.01E-25        0.00E+00
3151.52         4.00E-25        0.00E+00
3152.02         4.02E-25        0.00E+00
3152.51         4.05E-25        0.00E+00
3153.01         4.04E-25        0.00E+00
3153.50         4.01E-25        0.00E+00
3154.00         4.01E-25        0.00E+00
3154.49         4.03E-25        0.00E+00
3154.99         4.05E-25        0.00E+00
3155.49         4.04E-25        0.00E+00
3155.98         4.03E-25        0.00E+00
3156.48         4.03E-25        0.00E+00
3156.97         4.04E-25        0.00E+00
3157.47         4.05E-25        0.00E+00
3157.96         4.05E-25        0.00E+00
3158.46         4.04E-25        0.00E+00
3158.95         4.03E-25        0.00E+00
3159.45         4.02E-25        0.00E+00
3159.95         4.03E-25        0.00E+00
3160.44         4.05E-25        0.00E+00
3160.94         4.06E-25        0.00E+00
3161.43         4.06E-25        0.00E+00
3161.93         4.06E-25        0.00E+00
3162.42         4.07E-25        0.00E+00
3162.92         4.07E-25        0.00E+00
3163.42         4.05E-25        0.00E+00
3163.91         4.03E-25        0.00E+00
3164.41         4.00E-25        0.00E+00
3164.90         3.98E-25        0.00E+00
3165.40         3.98E-25        0.00E+00
3165.89         4.03E-25        0.00E+00
3166.39         4.08E-25        0.00E+00
3166.88         4.07E-25        0.00E+00
3167.38         4.06E-25        0.00E+00
3167.88         4.07E-25        0.00E+00
3168.37         4.09E-25        0.00E+00
3168.87         4.08E-25        0.00E+00
3169.36         4.04E-25        0.00E+00
3169.86         4.01E-25        0.00E+00
3170.35         4.03E-25        0.00E+00
3170.85         4.06E-25        0.00E+00
3171.34         4.06E-25        0.00E+00
3171.84         4.07E-25        0.00E+00
3172.34         4.08E-25        0.00E+00
3172.83         4.10E-25        0.00E+00
3173.33         4.09E-25        0.00E+00
3173.82         4.03E-25        0.00E+00
3174.32         3.97E-25        0.00E+00
3174.81         4.02E-25        0.00E+00
3175.31         4.06E-25        0.00E+00
3175.81         4.07E-25        0.00E+00
3176.30         4.07E-25        0.00E+00
3176.80         4.07E-25        0.00E+00
3177.29         4.06E-25        0.00E+00
3177.79         4.06E-25        0.00E+00
3178.28         4.06E-25        0.00E+00
3178.78         4.06E-25        0.00E+00
3179.27         4.06E-25        0.00E+00
3179.77         4.06E-25        0.00E+00
3180.27         4.05E-25        0.00E+00
3180.76         4.04E-25        0.00E+00
3181.26         4.03E-25        0.00E+00
3181.75         4.04E-25        0.00E+00
3182.25         4.04E-25        0.00E+00
3182.74         4.05E-25        0.00E+00
3183.24         4.05E-25        0.00E+00
3183.74         4.06E-25        0.00E+00
3184.23         4.07E-25        0.00E+00
3184.73         4.07E-25        0.00E+00
3185.22         4.05E-25        0.00E+00
3185.72         4.05E-25        0.00E+00
3186.21         4.07E-25        0.00E+00
3186.71         4.09E-25        0.00E+00
3187.20         4.08E-25        0.00E+00
3187.70         4.07E-25        0.00E+00
3188.20         4.05E-25        0.00E+00
3188.69         4.03E-25        0.00E+00
3189.19         4.02E-25        0.00E+00
3189.68         4.01E-25        0.00E+00
3190.18         4.00E-25        0.00E+00
3190.67         4.02E-25        0.00E+00
3191.17         4.05E-25        0.00E+00
3191.66         4.03E-25        0.00E+00
3192.16         4.00E-25        0.00E+00
3192.66         4.00E-25        0.00E+00
3193.15         4.06E-25        0.00E+00
3193.65         4.10E-25        0.00E+00
3194.14         4.08E-25        0.00E+00
3194.64         4.05E-25        0.00E+00
3195.13         4.06E-25        0.00E+00
3195.63         4.07E-25        0.00E+00
3196.13         4.07E-25        0.00E+00
3196.62         4.07E-25        0.00E+00
3197.12         4.07E-25        0.00E+00
3197.61         4.06E-25        0.00E+00
3198.11         4.05E-25        0.00E+00
3198.60         4.06E-25        0.00E+00
3199.10         4.06E-25        0.00E+00
3199.59         4.07E-25        0.00E+00
3200.09         4.09E-25        0.00E+00
3200.59         4.09E-25        0.00E+00
3201.08         4.07E-25        0.00E+00
3201.58         4.05E-25        0.00E+00
3202.07         4.06E-25        0.00E+00
3202.57         4.06E-25        0.00E+00
3203.06         4.06E-25        0.00E+00
3203.56         4.05E-25        0.00E+00
3204.05         4.05E-25        0.00E+00
3204.55         4.06E-25        0.00E+00
3205.05         4.07E-25        0.00E+00
3205.54         4.10E-25        0.00E+00
3206.04         4.12E-25        0.00E+00
3206.53         4.10E-25        0.00E+00
3207.03         4.08E-25        0.00E+00
3207.52         4.07E-25        0.00E+00
3208.02         4.06E-25        0.00E+00
3208.52         4.07E-25        0.00E+00
3209.01         4.08E-25        0.00E+00
3209.51         4.09E-25        0.00E+00
3210.00         4.06E-25        0.00E+00
3210.50         4.02E-25        0.00E+00
3210.99         4.03E-25        0.00E+00
3211.49         4.04E-25        0.00E+00
3211.98         4.06E-25        0.00E+00
3212.48         4.06E-25        0.00E+00
3212.98         4.08E-25        0.00E+00
3213.47         4.10E-25        0.00E+00
3213.97         4.13E-25        0.00E+00
3214.46         4.10E-25        0.00E+00
3214.96         4.07E-25        0.00E+00
3215.45         4.07E-25        0.00E+00
3215.95         4.09E-25        0.00E+00
3216.45         4.08E-25        0.00E+00
3216.94         4.06E-25        0.00E+00
3217.44         4.04E-25        0.00E+00
3217.93         4.05E-25        0.00E+00
3218.43         4.05E-25        0.00E+00
3218.92         4.05E-25        0.00E+00
3219.42         4.05E-25        0.00E+00
3219.91         4.04E-25        0.00E+00
3220.41         4.03E-25        0.00E+00
3220.91         4.03E-25        0.00E+00
3221.40         4.05E-25        0.00E+00
3221.90         4.06E-25        0.00E+00
3222.39         4.05E-25        0.00E+00
3222.89         4.04E-25        0.00E+00
3223.38         4.04E-25        0.00E+00
3223.88         4.05E-25        0.00E+00
3224.37         4.06E-25        0.00E+00
3224.87         4.07E-25        0.00E+00
3225.37         4.06E-25        0.00E+00
3225.86         4.02E-25        0.00E+00
3226.36         3.99E-25        0.00E+00
3226.85         3.99E-25        0.00E+00
3227.35         3.99E-25        0.00E+00
3227.84         4.00E-25        0.00E+00
3228.34         4.01E-25        0.00E+00
3228.84         4.02E-25        0.00E+00
3229.33         4.03E-25        0.00E+00
3229.83         4.03E-25        0.00E+00
3230.32         4.01E-25        0.00E+00
3230.82         3.99E-25        0.00E+00
3231.31         3.99E-25        0.00E+00
3231.81         4.00E-25        0.00E+00
3232.30         4.01E-25        0.00E+00
3232.80         4.02E-25        0.00E+00
3233.30         4.03E-25        0.00E+00
3233.79         4.02E-25        0.00E+00
3234.29         4.02E-25        0.00E+00
3234.78         4.04E-25        0.00E+00
3235.28         4.06E-25        0.00E+00
3235.77         4.07E-25        0.00E+00
3236.27         4.08E-25        0.00E+00
3236.77         4.06E-25        0.00E+00
3237.26         4.02E-25        0.00E+00
3237.76         3.99E-25        0.00E+00
3238.25         4.00E-25        0.00E+00
3238.75         4.01E-25        0.00E+00
3239.24         4.04E-25        0.00E+00
3239.74         4.07E-25        0.00E+00
3240.23         4.08E-25        0.00E+00
3240.73         4.07E-25        0.00E+00
3241.23         4.07E-25        0.00E+00
3241.72         4.07E-25        0.00E+00
3242.22         4.07E-25        0.00E+00
3242.71         4.06E-25        0.00E+00
3243.21         4.05E-25        0.00E+00
3243.70         4.05E-25        0.00E+00
3244.20         4.06E-25        0.00E+00
3244.69         4.05E-25        0.00E+00
3245.19         4.05E-25        0.00E+00
3245.69         4.05E-25        0.00E+00
3246.18         4.04E-25        0.00E+00
3246.68         4.04E-25        0.00E+00
3247.17         4.03E-25        0.00E+00
3247.67         4.03E-25        0.00E+00
3248.16         4.03E-25        0.00E+00
3248.66         4.02E-25        0.00E+00
3249.16         4.03E-25        0.00E+00
3249.65         4.04E-25        0.00E+00
3250.15         4.04E-25        0.00E+00
3250.64         4.04E-25        0.00E+00
3251.14         4.04E-25        0.00E+00
3251.63         4.06E-25        0.00E+00
3252.13         4.08E-25        0.00E+00
3252.62         4.07E-25        0.00E+00
3253.12         4.06E-25        0.00E+00
3253.62         4.04E-25        0.00E+00
3254.11         4.01E-25        0.00E+00
3254.61         3.99E-25        0.00E+00
3255.10         4.00E-25        0.00E+00
3255.60         4.01E-25        0.00E+00
3256.09         4.04E-25        0.00E+00
3256.59         4.07E-25        0.00E+00
3257.08         4.07E-25        0.00E+00
3257.58         4.05E-25        0.00E+00
3258.08         4.04E-25        0.00E+00
3258.57         4.03E-25        0.00E+00
3259.07         4.02E-25        0.00E+00
3259.56         4.01E-25        0.00E+00
3260.06         4.00E-25        0.00E+00
3260.55         3.99E-25        0.00E+00
3261.05         3.98E-25        0.00E+00
3261.55         3.99E-25        0.00E+00
3262.04         4.01E-25        0.00E+00
