0 Branching ratio for O2       Total        1 branches    
Lambda          Total           O/O
1950.17         2.89E-23        2.89E-23
1950.66         2.88E-23        2.88E-23
1951.16         2.87E-23        2.87E-23
1951.66         2.85E-23        2.85E-23
1952.15         2.84E-23        2.84E-23
1952.65         2.83E-23        2.83E-23
1953.14         2.82E-23        2.82E-23
1953.64         2.81E-23        2.81E-23
1954.13         2.79E-23        2.79E-23
1954.63         2.78E-23        2.78E-23
1955.13         2.77E-23        2.77E-23
1955.62         2.76E-23        2.76E-23
1956.12         2.75E-23        2.75E-23
1956.61         2.73E-23        2.73E-23
1957.11         2.72E-23        2.72E-23
1957.60         2.71E-23        2.71E-23
1958.10         2.70E-23        2.70E-23
1958.59         2.69E-23        2.69E-23
1959.09         2.68E-23        2.68E-23
1959.59         2.66E-23        2.66E-23
1960.08         2.64E-23        2.64E-23
1960.58         2.62E-23        2.62E-23
1961.07         2.59E-23        2.59E-23
1961.57         2.57E-23        2.57E-23
1962.06         2.55E-23        2.55E-23
1962.56         2.53E-23        2.53E-23
1963.05         2.50E-23        2.50E-23
1963.55         2.48E-23        2.48E-23
1964.05         2.46E-23        2.46E-23
1964.54         2.43E-23        2.43E-23
1965.04         2.41E-23        2.41E-23
1965.53         2.39E-23        2.39E-23
1966.03         2.37E-23        2.37E-23
1966.52         2.34E-23        2.34E-23
1967.02         2.32E-23        2.32E-23
1967.52         2.31E-23        2.31E-23
1968.01         2.30E-23        2.30E-23
1968.51         2.29E-23        2.29E-23
1969.00         2.28E-23        2.28E-23
1969.50         2.28E-23        2.28E-23
1969.99         2.28E-23        2.28E-23
1970.49         2.28E-23        2.28E-23
1970.98         2.27E-23        2.27E-23
1971.48         2.27E-23        2.27E-23
1971.98         2.27E-23        2.27E-23
1972.47         2.26E-23        2.26E-23
1972.97         2.26E-23        2.26E-23
1973.46         2.26E-23        2.26E-23
1973.96         2.25E-23        2.25E-23
1974.45         2.25E-23        2.25E-23
1974.95         2.25E-23        2.25E-23
1975.44         2.24E-23        2.24E-23
1975.94         2.24E-23        2.24E-23
1976.44         2.23E-23        2.23E-23
1976.93         2.23E-23        2.23E-23
1977.43         2.23E-23        2.23E-23
1977.92         2.22E-23        2.22E-23
1978.42         2.22E-23        2.22E-23
1978.91         2.22E-23        2.22E-23
1979.41         2.21E-23        2.21E-23
1979.91         2.21E-23        2.21E-23
1980.40         2.21E-23        2.21E-23
1980.90         2.21E-23        2.21E-23
1981.39         2.21E-23        2.21E-23
1981.89         2.21E-23        2.21E-23
1982.38         2.20E-23        2.20E-23
1982.88         2.20E-23        2.20E-23
1983.37         2.20E-23        2.20E-23
1983.87         2.19E-23        2.19E-23
1984.37         2.19E-23        2.19E-23
1984.86         2.19E-23        2.19E-23
1985.36         2.18E-23        2.18E-23
1985.85         2.18E-23        2.18E-23
1986.35         2.18E-23        2.18E-23
1986.84         2.17E-23        2.17E-23
1987.34         2.17E-23        2.17E-23
1987.84         2.17E-23        2.17E-23
1988.33         2.16E-23        2.16E-23
1988.83         2.16E-23        2.16E-23
1989.32         2.15E-23        2.15E-23
1989.82         2.15E-23        2.15E-23
1990.31         2.15E-23        2.15E-23
1990.81         2.14E-23        2.14E-23
1991.30         2.14E-23        2.14E-23
1991.80         2.14E-23        2.14E-23
1992.30         2.13E-23        2.13E-23
1992.79         2.13E-23        2.13E-23
1993.29         2.13E-23        2.13E-23
1993.78         2.12E-23        2.12E-23
1994.28         2.12E-23        2.12E-23
1994.77         2.12E-23        2.12E-23
1995.27         2.12E-23        2.12E-23
1995.76         2.12E-23        2.12E-23
1996.26         2.12E-23        2.12E-23
1996.76         2.13E-23        2.13E-23
1997.25         2.15E-23        2.15E-23
1997.75         2.16E-23        2.16E-23
1998.24         2.15E-23        2.15E-23
1998.74         2.14E-23        2.14E-23
1999.23         2.14E-23        2.14E-23
1999.73         2.13E-23        2.13E-23
2000.23         2.12E-23        2.12E-23
